,Album,Artist,Duration,Listeners,PlayCount,Tag1,Tag2,Title,TrackNum,TrackRelease,album,artist,duration,listeners,playcount,single_release,track-title,track_no
12,,,,,,,,,,,Shawn Mendes,Shawn Mendes,213,21447,185741,,Perfectly Wrong,13
13,,,,,,,,,,,Shawn Mendes,Shawn Mendes,170,19222,163355,,When You're Ready,14
0,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,273,22160,143901,,Sherane a.k.a Master Splinter's Daughter,1
1,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,307,47911,513067,,"Bitch, Don't Kill My Vibe",2
2,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,212,348629,3040243,"28 Jun 2013, 20:31",Backseat Freestyle,3
3,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,324,259654,1788407,,The Art of Peer Pressure,4
4,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,386,249519,1795997,"26 Dec 2012, 14:36",Money Trees,5
5,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,300,322442,2276800,"10 Mar 2013, 08:08",Poetic Justice,6
6,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,214,234177,1506966,,good kid,7
7,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,350,262332,1748875,"30 Jul 2013, 22:57",m.A.A.d city,8
8,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,313,255939,1919519,,Swimming Pools (Drank) (extended version),9
9,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,723,177594,1010802,"20 Nov 2013, 06:05","Sing About Me, I'm Dying of Thirst",10
10,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,443,115557,474017,,Real,11
11,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,248,128367,525335,,Compton,12
12,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,278,556,3404,,"Bitch, Don't Kill My Vibe (Remix)",13
13,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,305,71,651,,"Bitch, Don't Kill My Vibe (International Remix)",14
0,,,,,,,,,,,TRIP,Jhené Aiko,105,12255,72632,,Lsd,1
1,,,,,,,,,,,TRIP,Jhené Aiko,256,10815,48078,,Jukai,2
2,,,,,,,,,,,TRIP,Jhené Aiko,240,33534,174572,,While We're Young,3
3,,,,,,,,,,,TRIP,Jhené Aiko,178,11615,50132,,Moments,4
4,,,,,,,,,,,TRIP,Jhené Aiko,348,7842,29163,,OLLA (Only Lovers Left Alive),5
5,,,,,,,,,,,TRIP,Jhené Aiko,262,8709,34243,,When We Love,6
6,,,,,,,,,,,TRIP,Jhené Aiko,276,38637,200825,,Sativa,7
7,,,,,,,,,,,TRIP,Jhené Aiko,279,9105,38274,,New Balance,8
8,,,,,,,,,,,TRIP,Jhené Aiko,65,1522,6331,,Newer Balance (Freestyle),9
9,,,,,,,,,,,TRIP,Jhené Aiko,219,6720,26602,,You Are Here,10
10,,,,,,,,,,,TRIP,Jhené Aiko,270,10117,43393,,Never Call Me,11
11,,,,,,,,,,,TRIP,Jhené Aiko,256,6390,23553,,Nobody,12
12,,,,,,,,,,,TRIP,Jhené Aiko,319,6905,27924,,Overstimulated,13
13,,,,,,,,,,,TRIP,Jhené Aiko,119,1299,5069,,Bad Trip (Interlude),14
14,,,,,,,,,,,TRIP,Jhené Aiko,350,4328,13965,,Oblivion (Creation),15
15,,,,,,,,,,,TRIP,Jhené Aiko,466,5503,18415,,Psilocybin (Love in Full Effect),16
16,,,,,,,,,,,TRIP,Jhené Aiko,127,1244,4702,,Mystic Journey (Freestyle),17
17,,,,,,,,,,,TRIP,Jhené Aiko,189,1142,3970,,Picture Perfect (Freestyle),18
18,,,,,,,,,,,TRIP,Jhené Aiko,147,4559,14271,,Sing to Me,19
19,,,,,,,,,,,TRIP,Jhené Aiko,230,5247,17779,,Frequency,20
20,,,,,,,,,,,TRIP,Jhené Aiko,213,4033,12984,,Ascension,21
21,,,,,,,,,,,TRIP,Jhené Aiko,216,4593,15964,,Trip,22
0,,,,,,,,,,,The Life Of Pablo,Kanye West,320,177371,1418983,"13 Jul 2016, 07:05",Ultralight Beam,1
1,,,,,,,,,,,The Life Of Pablo,Kanye West,135,182023,1540406,,Father Stretch My Hands Pt. 1,2
2,,,,,,,,,,,The Life Of Pablo,Kanye West,129,151971,1185013,"21 Jul 2016, 23:01",Pt. 2,3
3,,,,,,,,,,,The Life Of Pablo,Kanye West,194,223329,1870395,"30 Apr 2016, 05:56",Famous,4
4,,,,,,,,,,,The Life Of Pablo,Kanye West,155,144297,997799,,Feedback,5
5,,,,,,,,,,,The Life Of Pablo,Kanye West,131,127214,694457,"06 Jul 2016, 16:49",Low Lights,6
6,,,,,,,,,,,The Life Of Pablo,Kanye West,199,122389,776368,"06 Jul 2016, 16:46",Highlights,7
7,,,,,,,,,,,The Life Of Pablo,Kanye West,122,120003,742513,"18 Sep 2017, 06:04",Freestyle 4,8
8,,,,,,,,,,,The Life Of Pablo,Kanye West,44,133926,789961,,I Love Kanye,9
9,,,,,,,,,,,The Life Of Pablo,Kanye West,181,157807,1260425,"09 Feb 2018, 14:27",Waves,10
10,,,,,,,,,,,The Life Of Pablo,Kanye West,236,132138,1000020,,FML,11
11,,,,,,,,,,,The Life Of Pablo,Kanye West,251,139007,1084367,,Real Friends,12
12,,,,,,,,,,,The Life Of Pablo,Kanye West,239,131840,998868,"31 Jul 2016, 04:49",Wolves,13
13,,,,,,,,,,,The Life Of Pablo,Kanye West,57,81794,392370,,Siiiiiiiiilver Surffffeeeeer Intermission,14
14,,,,,,,,,,,The Life Of Pablo,Kanye West,335,113822,696556,,30 HOURS,15
15,,,,,,,,,,,The Life Of Pablo,Kanye West,374,117559,786630,,No More Parties In LA,16
16,,,,,,,,,,,The Life Of Pablo,Kanye West,199,108763,674054,,FACTS (Charlie Heat version),17
17,,,,,,,,,,,The Life Of Pablo,Kanye West,193,142018,952694,"29 Aug 2016, 03:02",Fade,18
